Battery Name,RPT Number,Capacity,Discharge Capacity,First Life Charge Rate,Current Cycles,Temperature,Past Cycles,Past Discharge Capacity,Commercial,Residential,Calendar,No Calendar
g1,1,3.4360384941101074,4.58842277526855,3C,8,35,220.0,4.6,True,False,False,True
v4,1,3.5561113357543945,4.55840921401978,C/4,8,35,252.0,4.6024,False,True,False,True
v5,1,3.5213828086853027,4.67888450622559,1C,8,35,37.0,4.7055,True,False,False,True
w10,1,3.346380710601806,4.43834257125854,3C,8,35,358.0,4.4591,False,True,False,True
w8,1,3.2604005336761475,4.42225360870361,C/2,8,35,355.0,4.4568,True,False,False,True
w9,1,3.400594711303711,4.4433274269104,1C,8,35,349.0,4.4636,False,True,False,True
g1,2,3.5503995418548584,4.57675933837891,3C,5,20,225.0,4.58842277526855,True,False,False,True
v4,2,3.777298212051392,4.55290937423706,C/4,5,20,257.0,4.55840921401978,False,True,False,True
v5,2,3.608504056930542,4.65298843383789,1C,5,20,42.0,4.67888450622559,True,False,False,True
w10,2,3.5233640670776367,4.43442678451538,3C,5,20,363.0,4.43834257125854,False,True,False,True
w8,2,3.4023630619049072,4.41744422912598,C/2,5,20,360.0,4.42225360870361,True,False,False,True
w9,2,3.612427711486816,4.44013071060181,1C,5,20,354.0,4.4433274269104,False,True,False,True
g1,3,3.5250167846679688,4.57794141769409,3C,9,35,234.0,4.57675933837891,True,False,False,True
v4,3,3.7269446849823,4.55023145675659,C/4,9,35,266.0,4.55290937423706,False,True,False,True
v5,3,3.587559461593628,4.64690637588501,1C,9,35,51.0,4.65298843383789,True,False,False,True
w10,3,3.482627868652344,4.4309868812561,3C,9,35,372.0,4.43442678451538,False,True,False,True
w8,3,3.377619981765747,4.42020511627197,C/2,9,35,369.0,4.41744422912598,True,False,False,True
w9,3,3.5667641162872314,4.43814182281494,1C,9,35,363.0,4.44013071060181,False,True,False,True
g1,4,3.5553252696990967,4.56480693817139,3C,10,20,244.0,4.57794141769409,True,False,False,True
v4,4,3.805033206939697,4.5462474822998,C/4,10,20,276.0,4.55023145675659,False,True,False,True
v5,4,3.6013920307159424,4.63155746459961,1C,10,20,61.0,4.64690637588501,True,False,False,True
w10,4,3.543651580810547,4.42665863037109,3C,10,20,382.0,4.4309868812561,False,True,False,True
w8,4,3.422257900238037,4.41117286682129,C/2,10,20,379.0,4.42020511627197,True,False,False,True
w9,4,3.640994310379028,4.43416833877563,1C,10,20,373.0,4.43814182281494,False,True,False,True
g1,5,2.163722038269043,4.54949808120728,3C,10,35,254.0,4.56480693817139,True,False,False,True
v4,5,4.718405723571777,4.52975082397461,C/4,10,35,286.0,4.5462474822998,False,True,False,True
v5,5,2.2160372734069824,4.61282920837402,1C,10,35,71.0,4.63155746459961,True,False,False,True
w10,5,4.488381862640381,4.40932941436768,3C,10,35,392.0,4.42665863037109,False,True,False,True
w8,5,2.031524419784546,4.39819955825806,C/2,10,35,389.0,4.41117286682129,True,False,False,True
w9,5,4.565987586975098,4.41881942749023,1C,10,35,383.0,4.43416833877563,False,True,False,True
g1,6,3.5306105613708496,4.53862333297729,3C,10,20,264.0,4.54949808120728,True,False,False,True
v4,6,3.784624099731445,4.52517032623291,C/4,10,20,296.0,4.52975082397461,False,True,False,True
v5,6,3.5723137855529785,4.59701728820801,1C,10,20,81.0,4.61282920837402,True,False,False,True
w10,6,3.5305111408233643,4.40620994567871,3C,10,20,402.0,4.40932941436768,False,True,False,True
w8,6,3.4021658897399902,4.38618516921997,C/2,10,20,399.0,4.39819955825806,True,False,False,True
w9,6,3.6235392093658447,4.41454410552979,1C,10,20,393.0,4.41881942749023,False,True,False,True
g1,7,3.466902732849121,4.52327680587769,3C,10,35,274.0,4.53862333297729,True,False,False,True
v4,7,3.691819906234741,4.51145315170288,C/4,10,35,306.0,4.52517032623291,False,True,False,True
v5,7,3.5083789825439453,4.57806777954102,1C,10,35,91.0,4.59701728820801,True,False,False,True
w10,7,3.449033737182617,4.39178705215454,3C,10,35,412.0,4.40620994567871,False,True,False,True
w8,7,3.334294557571411,4.37280082702637,C/2,10,35,409.0,4.38618516921997,True,False,False,True
w9,7,3.537052154541016,4.40069723129272,1C,10,35,403.0,4.41454410552979,False,True,False,True
g1,8,3.5166783332824707,4.51680183410645,3C,10,20,284.0,4.52327680587769,True,False,False,True
v4,8,3.755796194076538,4.50616502761841,C/4,10,20,316.0,4.51145315170288,False,True,False,True
v5,8,3.5508761405944824,4.56740665435791,1C,10,20,101.0,4.57806777954102,True,False,False,True
w10,8,3.531290292739868,4.38836145401001,3C,10,20,422.0,4.39178705215454,False,True,False,True
w8,8,3.385353803634644,4.36430406570435,C/2,10,20,419.0,4.37280082702637,True,False,False,True
w9,8,3.611928701400757,4.39601469039917,1C,10,20,413.0,4.40069723129272,False,True,False,True
g1,9,3.4494009017944336,4.50140428543091,3C,10,35,294.0,4.51680183410645,True,False,False,True
v4,9,3.657254934310913,4.48624324798584,C/4,10,35,326.0,4.50616502761841,False,True,False,True
v5,9,3.490318298339844,4.55067205429077,1C,10,35,111.0,4.56740665435791,True,False,False,True
w10,9,3.4427082538604736,4.36824512481689,3C,10,35,432.0,4.38836145401001,False,True,False,True
w8,9,3.312615156173706,4.35371732711792,C/2,10,35,429.0,4.36430406570435,True,False,False,True
w9,9,3.520742893218994,4.37763786315918,1C,10,35,423.0,4.39601469039917,False,True,False,True
g1,10,3.4997267723083496,4.49716138839722,3C,10,20,304.0,4.50140428543091,True,False,False,True
v4,10,3.734476089477539,4.48465394973755,C/4,10,20,336.0,4.48624324798584,False,True,False,True
v5,10,3.5349624156951904,4.54440593719482,1C,10,20,121.0,4.55067205429077,True,False,False,True
w10,10,3.525899887084961,4.36783599853516,3C,10,20,442.0,4.36824512481689,False,True,False,True
w8,10,3.371840238571167,4.34943294525146,C/2,10,20,439.0,4.35371732711792,True,False,False,True
w9,10,3.598681926727295,4.37618494033813,1C,10,20,433.0,4.37763786315918,False,True,False,True
g1,11,3.4264211654663086,4.47767972946167,3C,10,35,314.0,4.49716138839722,True,False,True,False
v4,11,3.645150899887085,4.4634256362915,C/4,10,35,346.0,4.48465394973755,False,True,True,False
v5,11,3.462754487991333,4.52159833908081,1C,10,35,131.0,4.54440593719482,True,False,True,False
w10,11,3.4152028560638428,4.34599351882935,3C,10,35,452.0,4.36783599853516,False,True,True,False
w8,11,3.294370651245117,4.33067560195923,C/2,10,35,449.0,4.34943294525146,True,False,True,False
w9,11,3.495652198791504,4.3556547164917,1C,10,35,443.0,4.37618494033813,False,True,True,False
g1,12,3.4709744453430176,4.47392797470093,3C,10,20,324.0,4.47767972946167,True,False,False,True
v4,12,3.728571653366089,4.46362447738647,C/4,10,20,356.0,4.4634256362915,False,True,False,True
v5,12,3.5019872188568115,4.51613569259644,1C,10,20,141.0,4.52159833908081,True,False,False,True
w10,12,3.493799924850464,4.34610319137573,3C,10,20,462.0,4.34599351882935,False,True,False,True
w8,12,3.35252046585083,4.32649898529053,C/2,10,20,459.0,4.33067560195923,True,False,False,True
w9,12,3.5797111988067627,4.3548641204834,1C,10,20,453.0,4.3556547164917,False,True,False,True
g1,13,3.410563707351685,4.46492147445679,3C,10,35,334.0,4.47392797470093,True,False,True,False
v4,13,3.6377570629119873,4.45230627059937,C/4,10,35,366.0,4.46362447738647,False,True,True,False
v5,13,3.4404399394989014,4.50642347335815,1C,10,35,151.0,4.51613569259644,True,False,True,False
w10,13,3.4022209644317627,4.33328199386597,3C,10,35,472.0,4.34610319137573,False,True,True,False
w8,13,3.284299612045288,4.31960678100586,C/2,10,35,469.0,4.32649898529053,True,False,True,False
w9,13,3.487240791320801,4.34400033950806,1C,10,35,463.0,4.3548641204834,False,True,True,False
g1,14,3.45857572555542,4.45641708374023,3C,10,20,344.0,4.46492147445679,True,False,False,True
v4,14,3.716414451599121,4.44763565063477,C/4,10,20,376.0,4.45230627059937,False,True,False,True
v5,14,3.4871928691864014,4.49615955352783,1C,10,20,161.0,4.50642347335815,True,False,False,True
w10,14,3.485121011734009,4.32367658615112,3C,10,20,482.0,4.33328199386597,False,True,False,True
w8,14,3.3448023796081543,4.30902242660522,C/2,10,20,479.0,4.31960678100586,True,False,False,True
w9,14,3.570646286010742,4.33900499343872,1C,10,20,473.0,4.34400033950806,False,True,False,True
g1,15,3.4011247158050537,4.45068216323853,3C,10,35,354.0,4.45641708374023,True,False,True,False
v4,15,3.627039670944214,4.43637895584106,C/4,10,35,386.0,4.44763565063477,False,True,True,False
v5,15,3.4236459732055664,4.4885516166687,1C,10,35,171.0,4.49615955352783,True,False,True,False
w10,15,3.386179208755493,4.31850385665894,3C,10,35,492.0,4.32367658615112,False,True,True,False
w8,15,3.2727649211883545,4.30778932571411,C/2,10,35,489.0,4.30902242660522,True,False,True,False
w9,15,3.477370500564575,4.32850456237793,1C,10,35,483.0,4.33900499343872,False,True,True,False
g1,16,1.7230138778686523,4.47613382339478,3C,0,20,354.0,4.45068216323853,True,False,True,False
v4,16,4.913167953491211,4.43612957000732,C/4,0,20,386.0,4.43637895584106,False,True,True,False
v5,16,1.7565176486968994,4.51626205444336,1C,0,20,171.0,4.4885516166687,True,False,True,False
w10,16,4.778102874755859,4.32101917266846,3C,0,20,492.0,4.31850385665894,False,True,True,False
w8,16,1.6349971294403076,4.34257030487061,C/2,0,20,489.0,4.30778932571411,True,False,True,False
w9,16,4.786221981048584,4.33187198638916,1C,0,20,483.0,4.32850456237793,False,True,True,False
